O2_flux,CH4_flux,CH4_O2_flux_ratio
735000000000.0,220500000000.0,0.3
740000000000.0,222000000000.0,0.3
745000000000.0,223500000000.0,0.3
750000000000.0,225000000000.0,0.3
755000000000.0,226500000000.0,0.3
760000000000.0,228000000000.0,0.3
765000000000.0,229500000000.0,0.3
770000000000.0,231000000000.0,0.3
775000000000.0,232500000000.0,0.3
780000000000.0,234000000000.0,0.3
785000000000.0,235500000000.0,0.3
790000000000.0,237000000000.0,0.3
795000000000.0,238500000000.0,0.3
800000000000.0,240000000000.0,0.3
805000000000.0,241500000000.0,0.3
810000000000.0,243000000000.0,0.3
815000000000.0,244500000000.0,0.3
820000000000.0,246000000000.0,0.3
825000000000.0,247500000000.0,0.3
830000000000.0,249000000000.0,0.3
835000000000.0,250500000000.0,0.3
840000000000.0,252000000000.0,0.3
845000000000.0,253500000000.0,0.3
850000000000.0,255000000000.0,0.3
855000000000.0,256500000000.0,0.3
860000000000.0,258000000000.0,0.3
865000000000.0,259500000000.0,0.3
870000000000.0,261000000000.0,0.3
875000000000.0,262500000000.0,0.3
880000000000.0,264000000000.0,0.3
885000000000.0,265500000000.0,0.3
890000000000.0,267000000000.0,0.3
895000000000.0,268500000000.0,0.3
900000000000.0,270000000000.0,0.3
905000000000.0,271500000000.0,0.3
910000000000.0,273000000000.0,0.3
915000000000.0,274500000000.0,0.3
920000000000.0,276000000000.0,0.3
925000000000.0,277500000000.0,0.3
930000000000.0,279000000000.0,0.3
935000000000.0,280500000000.0,0.3
940000000000.0,282000000000.0,0.3
945000000000.0,283500000000.0,0.3
950000000000.0,285000000000.0,0.3
955000000000.0,286500000000.0,0.3
960000000000.0,288000000000.0,0.3
965000000000.0,289500000000.0,0.3
970000000000.0,291000000000.0,0.3
975000000000.0,292500000000.0,0.3
980000000000.0,294000000000.0,0.3
985000000000.0,295500000000.0,0.3
990000000000.0,297000000000.0,0.3
995000000000.0,298500000000.0,0.3
1000000000000.0,300000000000.0,0.3
1050000000000.0,315000000000.0,0.3
1100000000000.0,330000000000.0,0.3
1150000000000.0,345000000000.0,0.3
1200000000000.0,360000000000.0,0.3
1250000000000.0,375000000000.0,0.3
1300000000000.0,390000000000.0,0.3
1350000000000.0,405000000000.0,0.3
1400000000000.0,420000000000.0,0.3
1450000000000.0,435000000000.0,0.3
1500000000000.0,450000000000.0,0.3
1550000000000.0,465000000000.0,0.3
1600000000000.0,480000000000.0,0.3
1650000000000.0,495000000000.0,0.3
1700000000000.0,510000000000.0,0.3
1750000000000.0,525000000000.0,0.3
1800000000000.0,540000000000.0,0.3
1850000000000.0,555000000000.0,0.3
1900000000000.0,570000000000.0,0.3
1950000000000.0,585000000000.0,0.3
2000000000000.0,600000000000.0,0.3
2050000000000.0,615000000000.0,0.3
2100000000000.0,630000000000.0,0.3
2150000000000.0,645000000000.0,0.3
2200000000000.0,660000000000.0,0.3
2250000000000.0,675000000000.0,0.3
2300000000000.0,690000000000.0,0.3
2350000000000.0,705000000000.0,0.3
2400000000000.0,720000000000.0,0.3
2450000000000.0,735000000000.0,0.3
2500000000000.0,750000000000.0,0.3
2550000000000.0,765000000000.0,0.3
2600000000000.0,780000000000.0,0.3
2650000000000.0,795000000000.0,0.3
2700000000000.0,810000000000.0,0.3
2750000000000.0,825000000000.0,0.3
2800000000000.0,840000000000.0,0.3
2850000000000.0,855000000000.0,0.3
2900000000000.0,870000000000.0,0.3
2950000000000.0,885000000000.0,0.3
3000000000000.0,900000000000.0,0.3
3050000000000.0,915000000000.0,0.3
3100000000000.0,930000000000.0,0.3
3150000000000.0,945000000000.0,0.3
3200000000000.0,960000000000.0,0.3
3250000000000.0,975000000000.0,0.3
3300000000000.0,990000000000.0,0.3
3350000000000.0,1005000000000.0,0.3
3400000000000.0,1020000000000.0,0.3
3450000000000.0,1035000000000.0,0.3
3500000000000.0,1050000000000.0,0.3
3550000000000.0,1065000000000.0,0.3
3600000000000.0,1080000000000.0,0.3
3650000000000.0,1095000000000.0,0.3
3700000000000.0,1110000000000.0,0.3
3750000000000.0,1125000000000.0,0.3
3800000000000.0,1140000000000.0,0.3
3850000000000.0,1155000000000.0,0.3
3900000000000.0,1170000000000.0,0.3
3950000000000.0,1185000000000.0,0.3
4000000000000.0,1200000000000.0,0.3
4050000000000.0,1215000000000.0,0.3
4100000000000.0,1230000000000.0,0.3
4150000000000.0,1245000000000.0,0.3
4200000000000.0,1260000000000.0,0.3
4250000000000.0,1275000000000.0,0.3
4300000000000.0,1290000000000.0,0.3
4350000000000.0,1305000000000.0,0.3
4400000000000.0,1320000000000.0,0.3
4450000000000.0,1335000000000.0,0.3
4500000000000.0,1350000000000.0,0.3
4550000000000.0,1365000000000.0,0.3
4600000000000.0,1380000000000.0,0.3
4650000000000.0,1395000000000.0,0.3
4700000000000.0,1410000000000.0,0.3
4750000000000.0,1425000000000.0,0.3
4800000000000.0,1440000000000.0,0.3
4850000000000.0,1455000000000.0,0.3
4900000000000.0,1470000000000.0,0.3
4950000000000.0,1485000000000.0,0.3
5000000000000.0,1500000000000.0,0.3
5050000000000.0,1515000000000.0,0.3
5100000000000.0,1530000000000.0,0.3
5150000000000.0,1545000000000.0,0.3
5200000000000.0,1560000000000.0,0.3
5250000000000.0,1575000000000.0,0.3
5300000000000.0,1590000000000.0,0.3
5350000000000.0,1605000000000.0,0.3
5400000000000.0,1620000000000.0,0.3
5450000000000.0,1635000000000.0,0.3
5500000000000.0,1650000000000.0,0.3
5550000000000.0,1665000000000.0,0.3
5600000000000.0,1680000000000.0,0.3
5650000000000.0,1695000000000.0,0.3
5700000000000.0,1710000000000.0,0.3
5750000000000.0,1725000000000.0,0.3
5800000000000.0,1740000000000.0,0.3
5850000000000.0,1755000000000.0,0.3
5900000000000.0,1770000000000.0,0.3
5950000000000.0,1785000000000.0,0.3
6000000000000.0,1800000000000.0,0.3
6050000000000.0,1815000000000.0,0.3
6100000000000.0,1830000000000.0,0.3
6150000000000.0,1845000000000.0,0.3
6200000000000.0,1860000000000.0,0.3
6250000000000.0,1875000000000.0,0.3
6300000000000.0,1890000000000.0,0.3
6350000000000.0,1905000000000.0,0.3
6400000000000.0,1920000000000.0,0.3
6450000000000.0,1935000000000.0,0.3
6500000000000.0,1950000000000.0,0.3
6550000000000.0,1965000000000.0,0.3
6600000000000.0,1980000000000.0,0.3
6650000000000.0,1995000000000.0,0.3
6700000000000.0,2010000000000.0,0.3
6750000000000.0,2025000000000.0,0.3
