CO_flux,O2_flux,CH4_flux,CH4_O2_flux_ratio
321466467852.43207,300000000000.0,135000000000.0,0.45
314694713425.1637,300000000000.0,135000000000.0,0.45
308065607337.9514,300000000000.0,135000000000.0,0.45
301576144675.4335,300000000000.0,135000000000.0,0.45
295223383821.37805,300000000000.0,135000000000.0,0.45
289004445125.2785,300000000000.0,135000000000.0,0.45
282916509597.0364,300000000000.0,135000000000.0,0.45
276956817629.1299,300000000000.0,135000000000.0,0.45
271122667745.71765,300000000000.0,135000000000.0,0.45
265411415378.0741,300000000000.0,135000000000.0,0.45
259820471665.83884,300000000000.0,135000000000.0,0.45
254347302283.5014,300000000000.0,135000000000.0,0.45
248989426291.61713,300000000000.0,135000000000.0,0.45
243744415012.22217,300000000000.0,135000000000.0,0.45
238609890927.9281,300000000000.0,135000000000.0,0.45
233583526604.2222,300000000000.0,135000000000.0,0.45
228663043634.45505,300000000000.0,135000000000.0,0.45
223846211607.06183,300000000000.0,135000000000.0,0.45
219130847094.53915,300000000000.0,135000000000.0,0.45
214514812663.71024,300000000000.0,135000000000.0,0.45
209996015906.8524,300000000000.0,135000000000.0,0.45
205572408493.22006,300000000000.0,135000000000.0,0.45
201241985240.56152,300000000000.0,135000000000.0,0.45
197002783206.18134,300000000000.0,135000000000.0,0.45
192852880797.15842,300000000000.0,135000000000.0,0.45
188790396899.30722,300000000000.0,135000000000.0,0.45
184813490024.47964,300000000000.0,135000000000.0,0.45
180920357475.84106,300000000000.0,135000000000.0,0.45
177109234530.7182,300000000000.0,135000000000.0,0.45
173378393640.66843,300000000000.0,135000000000.0,0.45
169726143648.39917,300000000000.0,135000000000.0,0.45
166150829021.1764,300000000000.0,135000000000.0,0.45
162650829100.39166,300000000000.0,135000000000.0,0.45
159224557366.92722,300000000000.0,135000000000.0,0.45
155870460722.00284,300000000000.0,135000000000.0,0.45
152587018783.17172,300000000000.0,135000000000.0,0.45
149372743195.14014,300000000000.0,135000000000.0,0.45
146226176955.114,300000000000.0,135000000000.0,0.45
143145893752.34814,300000000000.0,135000000000.0,0.45
140130497321.614,300000000000.0,135000000000.0,0.45
137178620810.2867,300000000000.0,135000000000.0,0.45
134288926158.7586,300000000000.0,135000000000.0,0.45
131460103493.91342,300000000000.0,135000000000.0,0.45
128690870535.3677,300000000000.0,135000000000.0,0.45
125979972014.22884,300000000000.0,135000000000.0,0.45
123326179104.08896,300000000000.0,135000000000.0,0.45
120728288864.01039,300000000000.0,135000000000.0,0.45
118185123693.24464,300000000000.0,135000000000.0,0.45
115695530797.43282,300000000000.0,135000000000.0,0.45
113258381666.05803,300000000000.0,135000000000.0,0.45
110872571560.89818,300000000000.0,135000000000.0,0.45
108537019015.25932,300000000000.0,135000000000.0,0.45
106250665343.75761,300000000000.0,135000000000.0,0.45
104012474162.42352,300000000000.0,135000000000.0,0.45
101821430918.92152,300000000000.0,135000000000.0,0.45
99676542432.65909,300000000000.0,135000000000.0,0.45
97576836444.59003,300000000000.0,135000000000.0,0.45
95521361176.49515,300000000000.0,135000000000.0,0.45
93509184899.55083,300000000000.0,135000000000.0,0.45
91539395511.98563,300000000000.0,135000000000.0,0.45
89611100125.63004,300000000000.0,135000000000.0,0.45
87723424661.18103,300000000000.0,135000000000.0,0.45
85875513451.98709,300000000000.0,135000000000.0,0.45
84066528856.18317,300000000000.0,135000000000.0,0.45
82295650876.99603,300000000000.0,135000000000.0,0.45
80562076791.04454,300000000000.0,135000000000.0,0.45
78865020784.47493,300000000000.0,135000000000.0,0.45
77203713596.75595,300000000000.0,135000000000.0,0.45
75577402171.98091,300000000000.0,135000000000.0,0.45
73985349317.51495,300000000000.0,135000000000.0,0.45
72426833369.83,300000000000.0,135000000000.0,0.45
70901147867.38339,300000000000.0,135000000000.0,0.45
69407601230.3831,300000000000.0,135000000000.0,0.45
67945516447.30157,300000000000.0,135000000000.0,0.45
66514230767.99314,300000000000.0,135000000000.0,0.45
65113095403.27338,300000000000.0,135000000000.0,0.45
63741475230.830795,300000000000.0,135000000000.0,0.45
62398748507.32936,300000000000.0,135000000000.0,0.45
61084306586.57985,300000000000.0,135000000000.0,0.45
59797553643.644066,300000000000.0,135000000000.0,0.45
58537906404.75343,300000000000.0,135000000000.0,0.45
57304793882.91686,300000000000.0,135000000000.0,0.45
56097657119.095665,300000000000.0,135000000000.0,0.45
54915948928.834274,300000000000.0,135000000000.0,0.45
53759133654.2245,300000000000.0,135000000000.0,0.45
52626686921.0983,300000000000.0,135000000000.0,0.45
51518095401.33206,300000000000.0,135000000000.0,0.45
50432856580.16016,300000000000.0,135000000000.0,0.45
49370478528.39004,300000000000.0,135000000000.0,0.45
48330479679.41361,300000000000.0,135000000000.0,0.45
47312388610.91901,300000000000.0,135000000000.0,0.45
46315743831.19752,300000000000.0,135000000000.0,0.45
45340093569.954185,300000000000.0,135000000000.0,0.45
44384995573.52477,300000000000.0,135000000000.0,0.45
43450016904.404816,300000000000.0,135000000000.0,0.45
42534733745.00433,300000000000.0,135000000000.0,0.45
41638731205.53377,300000000000.0,135000000000.0,0.45
40761603135.93865,300000000000.0,135000000000.0,0.45
39902951941.79589,300000000000.0,135000000000.0,0.45
